Filename,TotalFrames,Rows,Columns
\Back\MAGMAR.png,65,8,9
\Back\MAGMORTAR.png,160,13,13
\Back\MAGNEMITE.png,105,10,11
\Back\MAGNETON.png,143,12,12
\Back\MAGNEZONE.png,95,10,10
\Back\MAKUHITA.png,114,11,11
\Back\MALAMAR.png,12,3,4
\Back\MAMOSWINE.png,145,12,13
\Back\MAMOSWINE_female.png,145,12,13
\Back\MANAPHY.png,119,11,11
\Back\MANDIBUZZ.png,141,12,12
\Back\MANECTRIC.png,77,9,9
\Back\MANECTRIC_1.png,1,1,1
\Back\MANKEY.png,120,11,11
\Back\MANTINE.png,167,13,13
\Back\MANTYKE.png,96,10,10
\Back\MARACTUS.png,144,12,12
\Back\MAREANIE.png,1,1,1
\Back\MAREEP.png,99,10,10
\Back\MARILL.png,135,12,12
\Back\MAROWAK.png,133,12,12
\Back\MAROWAK_1.png,1,1,1
\Back\MARSHADOW.png,1,1,1
\Back\MARSHTOMP.png,116,11,11
\Back\MASQUERAIN.png,171,13,14
\Back\MAWILE.png,155,12,13
\Back\MAWILE_1.png,16,4,4
\Back\MEDICHAM.png,89,9,10
\Back\MEDICHAM_1.png,1,1,1
\Back\MEDICHAM_female.png,89,9,10
\Back\MEDITITE.png,287,17,17
\Back\MEDITITE_female.png,287,17,17
\Back\MEGANIUM.png,89,9,10
\Back\MEGANIUM_female.png,89,9,10
\Back\MELOETTA.png,299,17,18
\Back\MELOETTA_1.png,152,12,13
\Back\MEOWSTIC.png,1,1,1
\Back\MEOWSTIC_female.png,1,1,1
\Back\MEOWTH.png,139,12,12
\Back\MEOWTH_1.png,1,1,1
\Back\MESPRIT.png,145,12,13
\Back\METAGROSS.png,103,10,11
\Back\METAGROSS_1.png,1,1,1
\Back\METANG.png,175,13,14
\Back\METAPOD.png,111,11,11
\Back\MEW.png,119,11,11
\Back\MEWTWO.png,125,11,12
\Back\MEWTWO_1.png,1,1,1
\Back\MEWTWO_2.png,1,1,1
\Back\MIENFOO.png,129,11,12
\Back\MIENSHAO.png,135,12,12
\Back\MIGHTYENA.png,113,11,11
\Back\MILOTIC.png,199,14,15
\Back\MILOTIC_female.png,199,14,15
\Back\MILTANK.png,95,10,10
\Back\MIMEJR.png,159,13,13
\Back\MIMIKYU.png,1,1,1
